6362	4765	0	1.0
4480	647	0	1.0
5680	7823	0	1.0
4467	1361	0	1.0
8392	3546	0	1.0
3158	3620	0	1.0
5856	8003	0	1.0
1957	5971	0	1.0
999	127	0	1.0
5879	1944	0	1.0
1832	2107	0	1.0
1325	4764	0	1.0
4836	91	0	1.0
5099	6694	0	1.0
6188	7743	0	1.0
1522	8076	0	1.0
4862	6475	0	1.0
7785	4442	0	1.0
2988	7037	0	1.0
2781	3955	0	1.0
1433	4556	0	1.0
4627	1361	0	1.0
2698	4740	0	1.0
1475	7059	0	1.0
7758	1280	0	1.0
3723	3305	0	1.0
1575	7806	0	1.0
4073	6849	0	1.0
6983	7214	0	1.0
7115	7670	0	1.0
3771	7230	0	1.0
8135	1589	0	1.0
5418	3446	0	1.0
953	6873	0	1.0
7329	3719	0	1.0
5131	6536	0	1.0
5929	8741	0	1.0
8464	1961	0	1.0
2748	1637	0	1.0
4834	8689	0	1.0
4355	7888	0	1.0
1251	8001	0	1.0
8389	8051	0	1.0
7855	5886	0	1.0
2558	2857	0	1.0
6847	8396	0	1.0
5005	5059	0	1.0
4556	5634	0	1.0
6381	1297	0	1.0
6544	7564	0	1.0
537	4393	0	1.0
3680	3593	0	1.0
411	5418	0	1.0
5290	7885	0	1.0
1836	5687	0	1.0
6947	5886	0	1.0
661	2334	0	1.0
7777	4911	0	1.0
1484	5919	0	1.0
1787	2414	0	1.0
5920	165	0	1.0
3500	6038	0	1.0
4346	1153	0	1.0
6192	432	0	1.0
7771	8319	0	1.0
1956	1737	0	1.0
5454	1916	0	1.0
3781	7610	0	1.0
7195	3625	0	1.0
3538	2107	0	1.0
5097	3465	0	1.0
3593	1332	0	1.0
1581	3929	0	1.0
2920	1307	0	1.0
2089	8799	0	1.0
5626	1181	0	1.0
8133	3301	0	1.0
3046	8212	0	1.0
5460	485	0	1.0
3794	8190	0	1.0
5488	7433	0	1.0
1892	2091	0	1.0
7722	7937	0	1.0
7032	3560	0	1.0
5645	310	0	1.0
7509	645	0	1.0
7066	567	0	1.0
5431	838	0	1.0
8884	7985	0	1.0
6110	3704	0	1.0
2728	4028	0	1.0
863	2275	0	1.0
7517	3547	0	1.0
1323	5767	0	1.0
1996	6495	0	1.0
4509	8178	0	1.0
1820	4242	0	1.0
782	775	0	1.0
3202	5730	0	1.0
322	842	0	1.0
206	1589	0	1.0
6448	6212	0	1.0
3318	7982	0	1.0
5968	8484	0	1.0
8064	1341	0	1.0
7391	6675	0	1.0
6100	7347	0	1.0
2584	3184	0	1.0
3988	4764	0	1.0
4022	4792	0	1.0
378	4368	0	1.0
6982	3095	0	1.0
6619	2087	0	1.0
4043	7600	0	1.0
3447	4825	0	1.0
2989	8857	0	1.0
6992	8059	0	1.0
7257	7288	0	1.0
